,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL
122, Dorfman Pacific,Women's Knit Wool Cloche with Flower, EUR 64.82,None,4.7391,https://www.macys.com/shop/product/dorfman-pacific-womens-knit-wool-cloche-with-flower?ID=7280009
123, MIU MIU,"Women's Sunglasses, MU 54YS", EUR 627.29,None,4.6667,https://www.macys.com/shop/product/miu-miu-womens-sunglasses-mu-54ys?ID=19500961
124, FRAAS,Women's Argyle Fringe-Trim Scarf,Sale  EUR 28.92,EUR 57.84,None,https://www.macys.com/shop/product/fraas-womens-argyle-fringe-trim-scarf?ID=18665824
125, kate spade new york,Women's Spade Logo Pop-Top Gloves, EUR 57.84,None,None,https://www.macys.com/shop/product/kate-spade-new-york-womens-spade-logo-pop-top-gloves?ID=18867549
126, Patricia Nash,NEW! Bark Leaves Scarf,Sale  EUR 18.95,EUR 37.90,4.9444,https://www.macys.com/shop/product/patricia-nash-bark-leaves-scarf?ID=18177965
127, Heat Holders,Women's Cannes Ribbed Pom-Pom Hat, EUR 34.90,None,4.8,https://www.macys.com/shop/product/heat-holders-womens-cannes-ribbed-pom-pom-hat?ID=16758195
128, Lucky Brand,Women's Perforated Scalloped Edge Leather Belt, EUR 59.34,None,4.75,https://www.macys.com/shop/product/lucky-brand-womens-perforated-scalloped-edge-leather-belt?ID=14229972
129, I.N.C. International Concepts,"Caitlinn Mini Beaded Clutch Crossbody, Created for Macy's ",Sale  EUR 35.67,EUR 79.28,5,https://www.macys.com/shop/product/i.n.c.-international-concepts-caitlinn-mini-beaded-clutch-crossbody-created-for-macys?ID=17753714
130, Simply Natural,Women's Embroidered Alpaca Reversible Kimono, EUR 324.11,None,4.4,https://www.macys.com/shop/product/simply-natural-womens-embroidered-alpaca-reversible-kimono?ID=10480729
131, Kipling,Kichirou Lunch Bag, EUR 58.84,None,3.4348,https://www.macys.com/shop/product/kipling-kichirou-lunch-bag?ID=16624561
132, Versace,"Women's Sunglasses, VE4437U", EUR 304.17,None,4.9787,https://www.macys.com/shop/product/versace-womens-sunglasses-ve4437u?ID=16696081
133, Holiday Lane,"Colorblock Hearts Square Scarf, Exclusively at Macy's ",Sale  EUR 17.95,EUR 35.90,None,https://www.macys.com/shop/product/holiday-lane-colorblock-hearts-square-scarf-exclusively-at-macys?ID=19621074
134, Steve Madden,Women's Two-Tone Paperclip Chain Belt,Sale  EUR 20.94,EUR 41.89,4.8571,https://www.macys.com/shop/product/steve-madden-womens-two-tone-paperclip-chain-belt?ID=17715421
135, kate spade new york,Women's Embellished Ear Muffs, EUR 77.79,None,5,https://www.macys.com/shop/product/kate-spade-new-york-womens-embellished-ear-muffs?ID=18867532
136, Sun + Stone,"Men's Cuffed Beanie, Created for Macy's ",Now  EUR 19.94,EUR 39.89,4.4348,https://www.macys.com/shop/product/sun-stone-mens-cuffed-beanie-created-for-macys?ID=14330928
137, Epoch Hats Company,Angela & William Poly Braid Bucket Sun Hat with Ribbon, EUR 35.90,None,3.5769,https://www.macys.com/shop/product/angela-william-poly-braid-bucket-sun-hat-with-ribbon?ID=9481299
138, kate spade new york,Women's Patent Leather Bow Belt, EUR 57.84,None,4,https://www.macys.com/shop/product/kate-spade-new-york-womens-patent-leather-bow-belt?ID=16434491
139, I.N.C. International Concepts,"Rebecc Metallic Snake Medium Clutch Crossbody, Created for Macy's ",Sale  EUR 35.67,EUR 79.28,4.1111,https://www.macys.com/shop/product/i.n.c.-international-concepts-rebecc-metallic-snake-medium-clutch-crossbody-created-for-macys?ID=17969065
140, Epoch Hats Company,Angela & William Wide Brim Sun Bucket Hat with Roll Up Edge, EUR 41.89,None,4.3704,https://www.macys.com/shop/product/angela-william-wide-brim-sun-bucket-hat-with-roll-up-edge?ID=9481286
141, I.N.C. International Concepts,"Women's Embellished Wrap, Created for Macy's",Sale  EUR 14.36,EUR 47.87,5,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-embellished-wrap-created-for-macys?ID=18678105
142, Angela & William,Messy Bun Ponytail Crochet Beanie, EUR 47.87,None,3.6667,https://www.macys.com/shop/product/angela-william-messy-bun-ponytail-crochet-beanie?ID=10476079
143, Tom Ford,TR001034 Unisex Round Eyeglasses, EUR 373.98,None,None,https://www.macys.com/shop/product/tom-ford-tr001034-unisex-round-eyeglasses?ID=12361209
144, Cole Haan,Women's Reversible Fair Isle Scarf,Now  EUR 58.34,EUR 77.79,5,https://www.macys.com/shop/product/cole-haan-womens-reversible-fair-isle-scarf?ID=18635958
145, adidas,NEW! Unisex Alphaskin 3 Neck Warmer, EUR 31.91,None,4.9091,https://www.macys.com/shop/product/adidas-unisex-alphaskin-3-neck-warmer?ID=19135486
146, Cole Haan,Woven Backed Gloves,Now  EUR 73.30,EUR 97.73,4.5,https://www.macys.com/shop/product/cole-haan-woven-backed-gloves?ID=18635967
147, Giani Bernini,Women's Logo Metal Chain Belt,Now  EUR 13.29  -,EUR 44.38,4.6667,https://www.macys.com/shop/product/giani-bernini-womens-logo-metal-chain-belt?ID=18843214
148, Holiday Lane,"Petal Hearts Square Scarf, Exclusively at Macy's ",Sale  EUR 17.95,EUR 35.90,None,https://www.macys.com/shop/product/holiday-lane-petal-hearts-square-scarf-exclusively-at-macys?ID=19621075
149, Epoch Hats Company,Wool Blend Earflap Cap with Sherpa Lining, EUR 47.87,None,None,https://www.macys.com/shop/product/epoch-hats-company-wool-blend-earflap-cap-with-sherpa-lining?ID=10476076
150, Giani Bernini,Women's Logo-Buckle Faux-Leather Belt,Now  EUR 11.50,EUR 38.40,5,https://www.macys.com/shop/product/giani-bernini-womens-logo-buckle-faux-leather-belt?ID=18836816
151, FRAAS,Women's Leo Leopard-Print Fringe-Trim Scarf,Sale  EUR 28.92,EUR 57.84,None,https://www.macys.com/shop/product/fraas-womens-leo-leopard-print-fringe-trim-scarf?ID=18665823
152, I.N.C. International Concepts,"INC Evening Wrap Collection, Created for Macy's",Your Choice  EUR 21.19,EUR 42.38,4.4316,https://www.macys.com/shop/product/inc-evening-wrap-collection-created-for-macys?ID=10419382
153, I.N.C. International Concepts,"Women's Felt Panama Hat, Created for Macy's",Now  EUR 24.18,EUR 48.37,5,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-felt-panama-hat-created-for-macys?ID=18744272
154, Totes,Women's Split-Back Bow Water Repellent Rain Hat, EUR 24.93,None,4.03,https://www.macys.com/shop/product/totes-womens-split-back-bow-water-repellent-rain-hat?ID=5832189
155, Isotoner Signature,Nordic Fair Isle Water Repellent Touchscreen Knit Gloves,Sale  EUR 21.94,EUR 43.88,4.5882,https://www.macys.com/shop/product/isotoner-signature-nordic-fair-isle-water-repellent-touchscreen-knit-gloves?ID=18765334
156, BACKSTAGE,NEW! Calvin Klein Oversized Solid Fringe Trim Pashmina, EUR 57.84,None,5,https://www.macys.com/shop/product/calvin-klein-oversized-solid-fringe-trim-pashmina?ID=18024017
157, I.N.C. International Concepts,"Pleated Clutch, Created for Macy's", EUR 79.28,None,3.8824,https://www.macys.com/shop/product/i.n.c.-international-concepts-pleated-clutch-created-for-macys?ID=12668948
158, I.N.C. International Concepts,"Women's Interlocking Hook Stretch Belt, Created for Macy's",Sale  EUR 24.18,EUR 48.37,4.3333,https://www.macys.com/shop/product/i.n.c.-international-concepts-womens-interlocking-hook-stretch-belt-created-for-macys?ID=16224606
159, Sam Edelman,High Waist Wide Width Tapered Corset Leather Belt, EUR 74.80,None,None,https://www.macys.com/shop/product/sam-edelman-high-waist-wide-width-tapered-corset-leather-belt?ID=19036211
160, Epoch Hats Company,Duckbill Ivy Cap with Stitching, EUR 38.89,None,3.3913,https://www.macys.com/shop/product/epoch-hats-company-duckbill-ivy-cap-with-stitching?ID=9481306
161, PRADA,"Low Bridge Square Women's Sunglasses, PR 22ZSF", EUR 425.84,None,None,https://www.macys.com/shop/product/prada-low-bridge-square-womens-sunglasses-pr-22zsf?ID=16444251
162, kate spade new york,Plaid Mix Multi Yarn Dye Wool Scarf, EUR 127.65,None,3.6667,https://www.macys.com/shop/product/kate-spade-new-york-plaid-mix-multi-yarn-dye-wool-scarf?ID=18867538
163, KARL LAGERFELD PARIS,Women's Karl Cation Wrap, EUR 57.84,None,None,https://www.macys.com/shop/product/karl-lagerfeld-paris-womens-karl-cation-wrap?ID=17625684
164, Sunday Afternoons,Sun Dancer Hat, EUR 65.82,None,4.7417,https://www.macys.com/shop/product/sunday-afternoons-sun-dancer-hat?ID=10042097
165, kate spade new york,Women's Embellished Ribbed Beanie, EUR 97.73,None,5,https://www.macys.com/shop/product/kate-spade-new-york-womens-embellished-ribbed-beanie?ID=18867533
166, Giani Bernini,Women's 2-Pk. Solid & Braided Belt Set,Sale  EUR 19.20,EUR 38.40,4,https://www.macys.com/shop/product/giani-bernini-womens-2-pk.-solid-braided-belt-set?ID=13619035
167, lonna & lilly,Gold-Tone Crystal Star & Imitation Pearl Hair Barrette, EUR 24.93,None,None,https://www.macys.com/shop/product/lonna-lilly-gold-tone-crystal-star-imitation-pearl-hair-barrette?ID=19105295
168, Heat Holders,Women's Alesund Cable-Knit Hat , EUR 29.91,None,4.625,https://www.macys.com/shop/product/heat-holders-womens-alesund-cable-knit-hat?ID=13253102
169, kate spade new york,Women's 32MM Reversible Belt, EUR 67.82,None,None,https://www.macys.com/shop/product/kate-spade-new-york-womens-32mm-reversible-belt?ID=19226595
170, PRADA,"Low Bridge Square Women's Sunglasses, PR 22ZSF", EUR 375.98,None,None,https://www.macys.com/shop/product/prada-low-bridge-square-womens-sunglasses-pr-22zsf?ID=16444250
171, I.N.C. International Concepts,"Sasha Satin Sparkle Clutch, Created for Macy's", EUR 79.28,None,4.6786,https://www.macys.com/shop/product/i.n.c.-international-concepts-sasha-satin-sparkle-clutch-created-for-macys?ID=14724534
172, Dorfman Pacific,Scala Grosgrain Ribbon Cloche, EUR 66.82,None,4.5556,https://www.macys.com/shop/product/scala-grosgrain-ribbon-cloche?ID=6750563
173, Giani Bernini,Women's Metallic Organza Evening Wrap,Sale  EUR 29.17,EUR 58.34,4.25,https://www.macys.com/shop/product/giani-bernini-womens-metallic-organza-evening-wrap?ID=17378282
174, Heat Holders,Women's Courtney Roll Up With Wispy Pom Hat , EUR 34.90,None,4.8,https://www.macys.com/shop/product/heat-holders-womens-courtney-roll-up-with-wispy-pom-hat?ID=13253076
