,Product Brand,Product Name,Current Price,Old Price,Rating,Product URL
1329,I.N.C. International Concepts,"Metal Chain Belt, Created for Macy's",Sale  EUR 16.84, EUR 33.69 ,Rated 4.1284 stars with 109 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-metal-chain-belt-created-for-macys?ID=5711182
1330,I.N.C. International Concepts,"Tollann Rose Gold Metallic Quilt Mini Crossbody, Created for Macy's ",Sale  EUR 33.93, EUR 67.87 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-tollann-rose-gold-metallic-quilt-mini-crossbody-created-for-macys?ID=17969077
1331,I.N.C. International Concepts,"Tollann Rose Gold Metallic Quilt Mini Crossbody, Created for Macy's ",Sale  EUR 33.93, EUR 67.87 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-tollann-rose-gold-metallic-quilt-mini-crossbody-created-for-macys?ID=17969077
1332,I.N.C. International Concepts,"Metallic Boucle Skipper Cap, Created for Macy's ",Sale  EUR 21.73, EUR 43.45 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-metallic-boucle-skipper-cap-created-for-macys?ID=18812039
1333,I.N.C. International Concepts,"Metallic Boucle Skipper Cap, Created for Macy's ",Sale  EUR 21.73, EUR 43.45 ,Rated 5 stars with 1 reviews,https://www.macys.com/shop/product/i.n.c.-international-concepts-metallic-boucle-skipper-cap-created-for-macys?ID=18812039
1334,Brahmin,Ezra Melbourne Embossed Large Leather Tote,EUR 356.42  -,None,Rated 4.8421 stars with 19 reviews,https://www.macys.com/shop/product/brahmin-ezra-melbourne-embossed-large-leather-tote?ID=16246762
1335,Brahmin,Ezra Melbourne Embossed Large Leather Tote,EUR 356.42  -,None,Rated 4.8421 stars with 19 reviews,https://www.macys.com/shop/product/brahmin-ezra-melbourne-embossed-large-leather-tote?ID=16246762
1336,Jason Wu,Winnie Large Top Handle Tote,Now  EUR 135.47, EUR 341.77 ,None,https://www.macys.com/shop/product/jason-wu-winnie-large-top-handle-tote?ID=17871012
1337,Jason Wu,Winnie Large Top Handle Tote,Now  EUR 135.47, EUR 341.77 ,None,https://www.macys.com/shop/product/jason-wu-winnie-large-top-handle-tote?ID=17871012
1338,Brahmin,Small Finley Melbourne Satchel,EUR 356.42,None,Rated 4.8519 stars with 27 reviews,https://www.macys.com/shop/product/brahmin-small-finley-melbourne-satchel?ID=17968424
1339,Brahmin,Small Finley Melbourne Satchel,EUR 356.42,None,Rated 4.8519 stars with 27 reviews,https://www.macys.com/shop/product/brahmin-small-finley-melbourne-satchel?ID=17968424
1340,Giani Bernini,"Block Signature Hobo, Created for Macy's",Sale  EUR 53.46, EUR 106.93 ,Rated 3.25 stars with 8 reviews,https://www.macys.com/shop/product/giani-bernini-block-signature-hobo-created-for-macys?ID=12873017
1341,Giani Bernini,"Block Signature Hobo, Created for Macy's",Sale  EUR 53.46, EUR 106.93 ,Rated 3.25 stars with 8 reviews,https://www.macys.com/shop/product/giani-bernini-block-signature-hobo-created-for-macys?ID=12873017
1342,Brahmin,Duxbury Leather Travel Weekender,EUR 483.36,None,Rated 5 stars with 16 reviews,https://www.macys.com/shop/product/brahmin-duxbury-leather-travel-weekender?ID=17350155
1343,Brahmin,Duxbury Leather Travel Weekender,EUR 483.36,None,Rated 5 stars with 16 reviews,https://www.macys.com/shop/product/brahmin-duxbury-leather-travel-weekender?ID=17350155
1344,kate spade new york,Women's Cars Silk Bandana Scarf,EUR 46.87,None,None,https://www.macys.com/shop/product/kate-spade-new-york-womens-cars-silk-bandana-scarf?ID=18823613
1345,kate spade new york,Women's Cars Silk Bandana Scarf,EUR 46.87,None,None,https://www.macys.com/shop/product/kate-spade-new-york-womens-cars-silk-bandana-scarf?ID=18823613
1346,Brahmin,NEW! Briar Caspian Mini Leather Crossbody,Sale  EUR 256.33, EUR 366.18 ,Rated 4.6667 stars with 15 reviews,https://www.macys.com/shop/product/brahmin-briar-caspian-mini-leather-crossbody?ID=18765253
1347,Brahmin,NEW! Briar Caspian Mini Leather Crossbody,Sale  EUR 256.33, EUR 366.18 ,Rated 4.6667 stars with 15 reviews,https://www.macys.com/shop/product/brahmin-briar-caspian-mini-leather-crossbody?ID=18765253
1348,Style & Co,"Women's Striped Fringe-Trim Scarf, Created for Macy's",Now  EUR 18.80, EUR 37.59 ,Rated 5 stars with 2 reviews,https://www.macys.com/shop/product/style-co-womens-striped-fringe-trim-scarf-created-for-macys?ID=17498817
1349,Style & Co,"Women's Striped Fringe-Trim Scarf, Created for Macy's",Now  EUR 18.80, EUR 37.59 ,Rated 5 stars with 2 reviews,https://www.macys.com/shop/product/style-co-womens-striped-fringe-trim-scarf-created-for-macys?ID=17498817
